epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,100.461,0.69501,0.90116,0.51151,0.8867,0,0.99839,0.98947,0.98519,0.8624,0.99839,0.98947,0.98519,0.84348,0.56924,0.65663,0.44572,0.86801,0,0.0014654,0.0014654,0.0014654
29,103.16,0.71634,0.92602,0.51565,0.89188,0,0.98801,0.98947,0.98213,0.87667,0.98801,0.98947,0.98213,0.85186,0.5166,0.58053,0.43119,0.86171,0,0.0014456,0.0014456,0.0014456
30,105.807,0.73431,0.91993,0.5267,0.88941,0,0.94679,0.98947,0.96224,0.82211,0.94679,0.98947,0.96224,0.82274,0.56775,0.63303,0.53223,0.86966,0,0.0014258,0.0014258,0.0014258
31,108.412,0.70845,0.89506,0.52495,0.8881,0,0.98347,0.98947,0.98129,0.84902,0.98347,0.98947,0.98434,0.84119,0.54952,0.58691,0.48608,0.86387,0,0.001406,0.001406,0.001406
32,111.078,0.73641,0.93293,0.50521,0.88216,0,0.98801,0.98947,0.98161,0.86071,0.98801,0.98947,0.98319,0.86859,0.51548,0.55641,0.41857,0.86293,0,0.0013862,0.0013862,0.0013862
33,113.792,0.70786,0.86143,0.48848,0.87942,0,0.97672,0.98947,0.97945,0.87302,0.99878,0.98947,0.98519,0.87349,0.5404,0.53315,0.43048,0.86194,0,0.0013664,0.0013664,0.0013664
34,116.517,0.70446,0.88687,0.49987,0.87591,0,0.98674,0.98947,0.98498,0.87166,0.98674,0.98947,0.98498,0.86405,0.52845,0.54767,0.40406,0.85832,0,0.0013466,0.0013466,0.0013466
35,120.135,0.70026,0.88882,0.49247,0.87419,0,1,0.98525,0.98525,0.85687,1,0.98525,0.98525,0.8367,0.51818,0.52957,0.39819,0.85671,0,0.0013268,0.0013268,0.0013268
36,124.32,0.70531,0.90876,0.47676,0.88821,0,0.98688,0.98947,0.98496,0.88027,0.98688,0.98947,0.98496,0.84572,0.5197,0.52864,0.40791,0.85728,0,0.001307,0.001307,0.001307
37,129.368,0.69042,0.87014,0.4678,0.87697,0,0.98794,0.98947,0.98506,0.88774,0.98794,0.98947,0.98506,0.86833,0.5076,0.5646,0.37712,0.85935,0,0.0012872,0.0012872,0.0012872
38,134.54,0.71886,0.88789,0.48109,0.88737,0,0.97749,0.97895,0.97728,0.87923,0.988,0.98947,0.98433,0.86079,0.47718,0.59578,0.39325,0.85311,0,0.0012674,0.0012674,0.0012674
39,138.837,0.70554,0.87495,0.47542,0.87873,0,0.97893,0.97895,0.97999,0.84454,0.98962,0.98947,0.98525,0.85351,0.56894,0.59356,0.39705,0.87451,0,0.0012476,0.0012476,0.0012476
40,143.379,0.68727,0.8798,0.45779,0.87098,0,0.98814,0.98947,0.98516,0.89238,0.98814,0.98947,0.98516,0.84152,0.47248,0.57327,0.38472,0.84374,0,0.0012278,0.0012278,0.0012278
41,147.688,0.68179,0.89261,0.45687,0.86756,0,0.98807,0.98947,0.9849,0.88952,0.98807,0.98947,0.9849,0.86181,0.46563,0.62881,0.38386,0.84608,0,0.001208,0.001208,0.001208
42,151.926,0.6647,0.85078,0.45761,0.87323,0,0.96864,0.97895,0.97743,0.87016,0.97906,0.98947,0.98406,0.86432,0.49326,0.54546,0.38076,0.85543,0,0.0011882,0.0011882,0.0011882
43,155.43,0.68202,0.91447,0.46917,0.87193,0,0.98603,0.98947,0.98512,0.87654,0.98977,0.97895,0.98522,0.8449,0.48481,0.55584,0.37876,0.8524,0,0.0011684,0.0011684,0.0011684
44,158.047,0.68612,0.89158,0.45837,0.87292,0,0.99324,0.98947,0.98533,0.88215,0.99324,0.98947,0.98533,0.86801,0.51263,0.5142,0.39452,0.85948,0,0.0011486,0.0011486,0.0011486
45,160.737,0.6942,0.83438,0.45558,0.87635,0,0.97766,0.98947,0.98499,0.89181,0.97766,0.98947,0.98499,0.86574,0.46959,0.54756,0.37695,0.84846,0,0.0011288,0.0011288,0.0011288
46,163.373,0.66329,0.8437,0.4471,0.86604,0,0.99939,0.98947,0.98551,0.87564,0.99939,0.98947,0.98551,0.86288,0.51998,0.52729,0.3888,0.85379,0,0.001109,0.001109,0.001109
47,166.021,0.67001,0.83784,0.45343,0.87363,0,0.99892,0.98947,0.98561,0.88656,0.99892,0.98947,0.98561,0.86596,0.50099,0.55606,0.36977,0.85851,0,0.0010892,0.0010892,0.0010892
48,168.654,0.65192,0.8329,0.43823,0.86231,0,0.99892,0.98947,0.98567,0.9036,0.99892,0.98947,0.98567,0.86538,0.45904,0.53379,0.35408,0.84295,0,0.0010694,0.0010694,0.0010694
49,171.304,0.64187,0.78439,0.44065,0.8671,0,0.99853,0.98947,0.98584,0.88773,0.99853,0.98947,0.98584,0.85788,0.46311,0.52283,0.35021,0.85457,0,0.0010496,0.0010496,0.0010496
50,174.897,0.67986,0.81809,0.43135,0.87067,0,0.99806,0.98947,0.98622,0.87979,0.99806,0.98947,0.98622,0.87995,0.49473,0.54924,0.36449,0.86005,0,0.0010298,0.0010298,0.0010298
51,179.689,0.67249,0.87769,0.43938,0.87099,0,0.99828,0.98947,0.98667,0.8922,0.99828,0.98947,0.98667,0.86016,0.48069,0.51689,0.3563,0.84457,0,0.00101,0.00101,0.00101
52,184.122,0.69595,0.89056,0.45334,0.88188,0,0.99847,0.98947,0.98671,0.89747,0.99847,0.98947,0.98671,0.86989,0.46135,0.50879,0.35814,0.84587,0,0.0009902,0.0009902,0.0009902
53,188.437,0.60665,0.76672,0.41756,0.85456,0,0.9991,0.98947,0.98655,0.88255,0.9991,0.98947,0.98655,0.86646,0.48915,0.50655,0.35471,0.85067,0,0.0009704,0.0009704,0.0009704
54,192.811,0.61242,0.7767,0.40499,0.86344,0,0.99945,0.98947,0.98654,0.90314,0.99945,0.98947,0.98654,0.87257,0.46908,0.51617,0.34424,0.84533,0,0.0009506,0.0009506,0.0009506
55,197.33,0.63788,0.81857,0.41728,0.86975,0,0.99917,0.98947,0.98588,0.89984,0.99917,0.98947,0.98588,0.8579,0.45529,0.51368,0.34174,0.83819,0,0.0009308,0.0009308,0.0009308
56,201.691,0.61648,0.80047,0.41818,0.8648,0,1,0.98838,0.98591,0.90152,1,0.98838,0.98591,0.87212,0.4503,0.49724,0.34925,0.83944,0,0.000911,0.000911,0.000911
57,205.899,0.61229,0.77859,0.41158,0.85661,0,0.9971,0.98947,0.98611,0.90187,0.9971,0.98947,0.98611,0.8703,0.4306,0.49574,0.34309,0.83492,0,0.0008912,0.0008912,0.0008912
58,209.86,0.62692,0.77506,0.40722,0.85653,0,0.98833,0.98947,0.98638,0.89738,0.98833,0.98947,0.98638,0.85192,0.45994,0.52266,0.34975,0.83552,0,0.0008714,0.0008714,0.0008714
59,213.854,0.61382,0.74772,0.4034,0.85773,0,0.99913,0.98947,0.98653,0.90162,0.99913,0.98947,0.98653,0.87621,0.42796,0.53348,0.32906,0.84074,0,0.0008516,0.0008516,0.0008516
60,217.823,0.65895,0.82405,0.41682,0.86727,0,0.99757,0.98947,0.98624,0.87627,0.99757,0.98947,0.98624,0.8604,0.53431,0.55441,0.35327,0.85117,0,0.0008318,0.0008318,0.0008318
