epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.91312,1.35884,2.7015,3.41079,1.16742,0,0.0188,0.81667,0.10539,0.05293,0.01807,0.75,0.05289,0.02885,0.74498,1.53204,3.23451,0.97147,0,0.00013336,0.00013336,0.00013336
2,8.24077,0.78851,1.13397,2.0707,0.95248,0,0.01858,0.80556,0.2474,0.17651,0.01819,0.75278,0.24921,0.12195,0.69947,1.10311,2.85485,0.93185,0,0.000280584,0.000280584,0.000280584
3,11.4233,0.68788,0.85189,1.26853,0.90543,0,0.95389,0.15205,0.29553,0.21056,1,0.16742,0.32684,0.17249,0.64973,1.00711,2.82951,0.92007,0,0.000424838,0.000424838,0.000424838
4,14.5459,0.7167,0.80411,1.10284,0.92107,0,0.6613,0.12485,0.18838,0.11261,0.74194,0.15819,0.24905,0.13073,0.68772,1.16378,2.87743,0.95644,0,0.000566122,0.000566122,0.000566122
5,17.8758,0.66263,0.72441,0.98969,0.91174,0,0.76106,0.18741,0.34485,0.21135,0.65131,0.16944,0.29901,0.1828,0.77939,0.9531,2.6382,1.01365,0,0.000704434,0.000704434,0.000704434
6,20.7888,0.6935,0.74893,0.93797,0.91511,0,0.54889,0.27116,0.25135,0.1539,0.85008,0.20278,0.28842,0.1582,0.74145,1.06864,2.68777,1.00836,0,0.000839776,0.000839776,0.000839776
7,23.8073,0.6658,0.72657,0.93484,0.90158,0,0.61854,0.23611,0.30487,0.20797,0.56542,0.20778,0.334,0.21813,0.80316,0.99847,2.63635,1.12376,0,0.000972148,0.000972148,0.000972148
8,26.7085,0.66032,0.7075,0.86969,0.91123,0,0.6524,0.24059,0.44869,0.36292,0.6524,0.24059,0.45552,0.32888,0.66447,1.03934,2.2511,0.92662,0,0.00110155,0.00110155,0.00110155
9,29.8439,0.61238,0.68441,0.83048,0.88902,0,0.67003,0.47002,0.65779,0.47928,0.64451,0.4428,0.62739,0.43403,0.75935,0.92144,1.9469,0.98421,0,0.00122798,0.00122798,0.00122798
10,32.4176,0.64997,0.73143,0.88656,0.9091,0,0.59664,0.50677,0.59415,0.42016,0.59664,0.50677,0.58982,0.39308,0.75949,0.93739,2.05106,1.01212,0,0.00135144,0.00135144,0.00135144
11,34.7609,0.65713,0.69977,0.84468,0.9142,0,0.63406,0.65206,0.61902,0.48726,0.60933,0.62027,0.61617,0.39456,0.70282,1.26075,1.72124,0.97307,0,0.00147193,0.00147193,0.00147193
12,37.5034,0.69369,0.73997,0.87657,0.91584,0,0.60274,0.68708,0.60817,0.44389,0.60336,0.68388,0.60588,0.41688,0.84807,1.0561,1.73422,1.09282,0,0.00148546,0.00148546,0.00148546
13,40.3461,0.6756,0.70362,0.84798,0.91479,0,0.58276,0.85302,0.63119,0.47975,0.58276,0.85302,0.62849,0.46135,0.73735,0.79079,1.41428,1.04449,0,0.00146896,0.00146896,0.00146896
14,43.0628,0.65939,0.75181,0.79159,0.89547,0,0.54906,0.76014,0.61656,0.43955,0.55702,0.79348,0.65782,0.45498,0.87649,0.90578,1.63826,1.07551,0,0.00145246,0.00145246,0.00145246
15,46.4352,0.67444,0.75675,0.80392,0.90265,0,0.61627,0.66963,0.6675,0.50326,0.60317,0.7178,0.70162,0.46167,0.71995,1.04608,1.45954,0.99257,0,0.00143595,0.00143595,0.00143595
16,49.9259,0.64048,0.70343,0.74737,0.88427,0,0.76069,0.83889,0.84255,0.58789,0.76069,0.83889,0.81777,0.54866,0.80022,0.83534,1.04009,1.02227,0,0.00141945,0.00141945,0.00141945
17,53.1684,0.60952,0.62494,0.77199,0.89072,0,0.70819,0.71877,0.74364,0.5858,0.76485,0.7637,0.81391,0.53468,0.67796,0.8492,0.94138,0.99294,0,0.00140295,0.00140295,0.00140295
18,56.3557,0.60131,0.66781,0.73433,0.89067,0,0.85893,0.78611,0.82353,0.651,0.74745,0.86667,0.83392,0.58465,0.62524,0.74495,0.78796,0.92935,0,0.00138644,0.00138644,0.00138644
19,59.3686,0.61206,0.66693,0.70264,0.88101,0,0.86276,0.86667,0.89046,0.69545,0.81239,0.88632,0.8533,0.62186,0.6885,0.82024,0.75376,0.93624,0,0.00136994,0.00136994,0.00136994
20,62.707,0.59748,0.65416,0.698,0.88184,0,0.83943,0.93785,0.93844,0.79327,0.82329,0.92911,0.9166,0.70772,0.52808,0.6792,0.61992,0.87952,0,0.00135344,0.00135344,0.00135344
21,66.0767,0.56499,0.64298,0.62951,0.86729,0,0.93953,0.88611,0.93516,0.76959,0.88577,0.85278,0.90162,0.7138,0.57142,0.67881,0.72015,0.88668,0,0.00133693,0.00133693,0.00133693
22,69.1947,0.56896,0.61148,0.62993,0.87583,0,0.80387,0.91341,0.89759,0.72313,0.77681,0.88492,0.85831,0.63164,0.57557,0.76541,0.70032,0.91747,0,0.00132043,0.00132043,0.00132043
23,72.2666,0.57055,0.58381,0.62444,0.87735,0,0.95228,0.81733,0.94085,0.77202,0.88498,0.75278,0.77535,0.65315,0.53031,0.78834,0.62843,0.88061,0,0.00130393,0.00130393,0.00130393
24,75.5303,0.54988,0.56622,0.65317,0.87805,0,0.95998,0.87913,0.95676,0.77898,0.91738,0.84649,0.89567,0.70632,0.62756,0.7934,0.69292,0.92816,0,0.00128742,0.00128742,0.00128742
25,79.0057,0.56741,0.59054,0.63079,0.87347,0,0.82253,0.81944,0.90645,0.72751,0.87194,0.68611,0.79351,0.63498,0.54764,0.74028,0.665,0.8979,0,0.00127092,0.00127092,0.00127092
26,82.0231,0.53952,0.63018,0.61246,0.87298,0,0.98609,0.71084,0.89208,0.73827,0.76039,0.79911,0.84873,0.66537,0.54201,0.57347,0.66812,0.89385,0,0.00125442,0.00125442,0.00125442
27,85.6206,0.53799,0.58203,0.60817,0.86942,0,0.96126,0.82034,0.90896,0.75351,0.96126,0.82034,0.92357,0.71803,0.56073,0.54542,0.58959,0.89206,0,0.00123791,0.00123791,0.00123791
28,88.713,0.52345,0.54482,0.60517,0.87096,0,0.854,0.8977,0.92302,0.7658,0.90872,0.89599,0.93092,0.69154,0.53739,0.62741,0.63871,0.92392,0,0.00122141,0.00122141,0.00122141
29,91.5575,0.51849,0.60576,0.59249,0.87488,0,0.84629,0.93333,0.92366,0.76774,0.86404,0.93333,0.92651,0.7269,0.50582,0.6021,0.63055,0.87028,0,0.00120491,0.00120491,0.00120491
30,94.4333,0.53847,0.58145,0.59767,0.87691,0,0.88098,0.91944,0.92154,0.74322,0.88098,0.91944,0.91091,0.67758,0.56179,0.71019,0.65513,0.92701,0,0.0011884,0.0011884,0.0011884
31,97.4024,0.53616,0.58717,0.58113,0.86902,0,0.89578,0.90901,0.93331,0.76546,0.89578,0.90901,0.93374,0.67423,0.56092,0.64968,0.60688,0.93989,0,0.0011719,0.0011719,0.0011719
32,100.255,0.51829,0.55867,0.5647,0.86199,0,0.90845,0.9,0.94236,0.80442,0.90845,0.9,0.94837,0.70991,0.53554,0.67056,0.56148,0.89986,0,0.0011554,0.0011554,0.0011554
33,103.042,0.54131,0.58844,0.57367,0.87011,0,0.96957,0.87988,0.937,0.79383,0.96957,0.87988,0.95215,0.75027,0.52654,0.64233,0.5633,0.90035,0,0.00113889,0.00113889,0.00113889
34,105.774,0.52529,0.57786,0.5531,0.85553,0,0.97203,0.83439,0.92692,0.77691,0.92653,0.90556,0.93095,0.73371,0.53472,0.71052,0.59523,0.89785,0,0.00112239,0.00112239,0.00112239
