epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,60.9894,0.61286,0.82127,0.90487,0.93599,0,0.58394,0.78571,0.75553,0.37214,0.84106,0.5,0.75421,0.42847,1.17277,2.44437,1.72636,1.53615,0,0.00122141,0.00122141,0.00122141
29,62.9227,0.55792,0.77754,0.88833,0.92057,0,0.72123,0.5,0.58651,0.31056,0.67798,0.57143,0.66491,0.35325,1.28271,2.43374,1.84908,1.81162,0,0.00120491,0.00120491,0.00120491
30,65.0324,0.53662,0.81091,0.87983,0.91757,0,0.58174,0.71429,0.61632,0.26619,0.46342,0.57143,0.48995,0.26582,1.11402,2.0079,2.12632,1.63205,0,0.0011884,0.0011884,0.0011884
31,66.8946,0.58268,0.82332,0.88421,0.98414,0,0.71859,0.73043,0.76541,0.42517,0.54276,0.67934,0.64223,0.41248,0.90875,2.39814,1.77665,1.31915,0,0.0011719,0.0011719,0.0011719
32,68.8163,0.50334,0.74989,0.83132,0.89804,0,0.71838,0.91179,0.79087,0.58108,0.71838,0.91179,0.87434,0.60015,0.72426,2.71603,1.09208,1.12264,0,0.0011554,0.0011554,0.0011554
33,70.651,0.55032,0.77771,0.77393,0.92169,0,0.72196,0.92743,0.8073,0.62309,0.69949,0.99771,0.86272,0.59512,0.70994,2.55609,1.05451,1.05374,0,0.00113889,0.00113889,0.00113889
34,72.5387,0.56166,0.7486,0.79054,0.94769,0,0.67484,0.92857,0.78458,0.56419,0.66035,0.92857,0.83785,0.51711,0.69303,2.3097,1.16317,1.02335,0,0.00112239,0.00112239,0.00112239
35,74.6185,0.49749,0.71297,0.75678,0.89396,0,0.6107,0.85714,0.68504,0.45281,0.6107,0.85714,0.73692,0.4467,0.75923,2.35379,1.54412,1.12795,0,0.00110589,0.00110589,0.00110589
36,76.6416,0.51362,0.71533,0.76779,0.88796,0,0.68641,0.57143,0.64935,0.4294,0.78265,0.64286,0.72217,0.39742,0.8467,2.52373,1.67472,1.30186,0,0.00108938,0.00108938,0.00108938
37,78.7693,0.54289,0.73697,0.7347,0.94167,0,0.61943,0.69838,0.62066,0.39711,0.66278,0.71429,0.69404,0.37308,0.83422,2.31708,1.67155,1.31054,0,0.00107288,0.00107288,0.00107288
38,80.8463,0.51082,0.67365,0.74399,0.9092,0,0.6195,0.71429,0.59606,0.3862,0.64648,0.71429,0.62072,0.35554,0.80544,1.7255,1.74319,1.21863,0,0.00105638,0.00105638,0.00105638
39,82.7364,0.49296,0.67353,0.72119,0.89602,0,0.52453,0.78571,0.58843,0.3563,0.52453,0.78571,0.52561,0.35205,0.89915,1.59831,1.77711,1.30327,0,0.00103987,0.00103987,0.00103987
