epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00508,1.30459,2.52681,3.42077,1.15172,0,0.01887,0.98148,0.10189,0.06133,0.01733,0.71225,0.07548,0.04538,0.69598,1.60314,3.18039,0.9094,0,0.00013336,0.00013336,0.00013336
2,8.36769,0.81273,1.14628,2.07254,0.95639,0,0.01796,0.96154,0.22882,0.11495,0.01725,0.84615,0.15585,0.07965,0.73841,1.0866,2.91416,0.9242,0,0.000280584,0.000280584,0.000280584
3,11.7025,0.7193,0.93668,1.30731,0.92871,0,0.8236,0.14262,0.21627,0.13628,0.8236,0.14262,0.24102,0.09003,0.64225,1.01353,2.98904,0.94688,0,0.000424838,0.000424838,0.000424838
4,15.3864,0.72173,0.92538,1.14873,0.93079,0,0.71589,0.0939,0.30872,0.16917,0.71589,0.0939,0.31511,0.1434,0.71547,0.87698,2.8292,0.92297,0,0.000566122,0.000566122,0.000566122
5,19.1789,0.68012,0.82603,1.09366,0.92744,0,0.04999,0.40812,0.10978,0.06608,0.03678,0.21581,0.08149,0.05062,1.08374,1.91044,3.22256,1.11504,0,0.000704434,0.000704434,0.000704434
6,22.7679,0.69818,0.84825,0.97215,0.91989,0,0.62821,0.19892,0.28034,0.17241,0.57053,0.17713,0.24558,0.13467,0.77125,1.19917,2.64884,0.93874,0,0.000839776,0.000839776,0.000839776
7,26.2333,0.6971,0.81059,0.93599,0.91773,0,0.585,0.38177,0.41975,0.26775,0.57747,0.30487,0.39815,0.21765,0.81787,0.95944,2.51197,0.94187,0,0.000972148,0.000972148,0.000972148
8,29.6028,0.66358,0.77004,0.88354,0.90158,0,0.73676,0.24644,0.391,0.25916,0.52181,0.43026,0.43694,0.25178,0.74795,0.84594,2.37224,0.98769,0,0.00110155,0.00110155,0.00110155
9,33.2267,0.68216,0.77943,0.88021,0.91455,0,0.38867,0.55497,0.48501,0.33683,0.41947,0.57387,0.51448,0.32537,0.82908,1.04814,1.91399,1.09973,0,0.00122798,0.00122798,0.00122798
10,36.7679,0.72613,0.84339,0.90811,0.94125,0,0.43665,0.68642,0.56271,0.39022,0.41967,0.61273,0.52881,0.3592,0.79758,0.91488,1.68007,1.004,0,0.00135144,0.00135144,0.00135144
11,40.2761,0.68174,0.80145,0.89114,0.91393,0,0.38046,0.58405,0.45612,0.31798,0.45497,0.47151,0.53101,0.32131,0.87029,1.05145,1.73895,0.95806,0,0.00147193,0.00147193,0.00147193
12,43.6876,0.69856,0.78418,0.87208,0.93098,0,0.61868,0.56553,0.63827,0.46864,0.61062,0.5665,0.6433,0.44015,0.71734,1.00804,1.58286,0.95405,0,0.00148546,0.00148546,0.00148546
13,46.6951,0.64783,0.73469,0.78628,0.89948,0,0.62676,0.60203,0.66707,0.49408,0.65008,0.65838,0.70468,0.465,0.75819,1.07604,1.30075,0.94526,0,0.00146896,0.00146896,0.00146896
14,49.4877,0.62496,0.75174,0.7548,0.88861,0,0.65949,0.55484,0.64017,0.48345,0.65949,0.55484,0.69643,0.45457,0.81009,0.90634,1.17415,1.01115,0,0.00145246,0.00145246,0.00145246
15,52.5451,0.62505,0.73211,0.72397,0.88605,0,0.70578,0.62969,0.6734,0.46165,0.71743,0.63895,0.69332,0.45742,0.93375,0.98273,1.35612,1.10768,0,0.00143595,0.00143595,0.00143595
16,55.8158,0.63115,0.73069,0.76086,0.89798,0,0.7454,0.69074,0.75383,0.51696,0.69307,0.67664,0.75942,0.4673,0.84631,1.06645,1.02645,1.08032,0,0.00141945,0.00141945,0.00141945
17,58.8269,0.63152,0.75044,0.74442,0.90914,0,0.77958,0.74288,0.76227,0.51933,0.86023,0.65246,0.72922,0.50489,0.72301,0.84706,0.91099,1.07162,0,0.00140295,0.00140295,0.00140295
18,61.9837,0.61101,0.69389,0.69018,0.88626,0,0.71242,0.72293,0.76006,0.56141,0.65785,0.78917,0.77141,0.52448,0.81249,0.7455,0.9118,1.08583,0,0.00138644,0.00138644,0.00138644
