epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.56093,1.41201,2.61572,3.04643,1.2144,0,0.59964,0.55701,0.49929,0.37925,0.40187,0.42735,0.37905,0.28234,0.72373,1.53258,1.63091,1.00176,0,0.00013336,0.00013336,0.00013336
2,11.7818,0.70114,0.95655,1.07827,0.93349,0,0.62978,0.68624,0.62617,0.49643,0.70762,0.67966,0.68778,0.46908,0.6557,0.75542,1.5815,0.91278,0,0.000280584,0.000280584,0.000280584
3,16.8969,0.65395,0.81915,0.89857,0.90953,0,0.76025,0.76004,0.71403,0.58877,0.777,0.77856,0.74111,0.49213,0.55274,0.81718,1.5855,0.89508,0,0.000424838,0.000424838,0.000424838
4,21.9277,0.65081,0.83528,0.88007,0.91571,0,0.6684,0.70377,0.68543,0.52399,0.70516,0.614,0.67046,0.4327,0.74144,1.00693,1.4033,1.01678,0,0.000566122,0.000566122,0.000566122
5,26.9991,0.64846,0.78749,0.89622,0.93368,0,0.12176,0.34402,0.13785,0.10205,0.10819,0.25926,0.13416,0.09974,1.06967,2.03683,10.3865,1.45759,0,0.000704434,0.000704434,0.000704434
6,31.9204,0.66574,0.80458,0.75119,0.9243,0,0.33817,0.3255,0.32635,0.23597,0.30631,0.29772,0.28592,0.21096,1.10203,3.17855,2.63791,1.79427,0,0.000839776,0.000839776,0.000839776
7,37.1239,0.67033,0.77703,0.73856,0.91799,0,0.43591,0.6208,0.42353,0.27531,0.38669,0.60114,0.44379,0.29193,0.81686,1.1766,3.08462,1.04991,0,0.000972148,0.000972148,0.000972148
8,42.3559,0.66562,0.7623,0.68055,0.91034,0,0.45081,0.32725,0.27424,0.1895,0.4504,0.32958,0.25874,0.18845,1.18724,2.92315,3.94084,1.40282,0,0.00110155,0.00110155,0.00110155
9,50.5342,0.6888,0.78521,0.71187,0.92483,0,0.34283,0.46034,0.34435,0.21409,0.32814,0.42242,0.29758,0.19923,1.12647,2.29965,2.00484,1.34369,0,0.00122798,0.00122798,0.00122798
10,61.2281,0.70619,0.80374,0.69309,0.93144,0,0.33263,0.29915,0.17911,0.10786,0.15272,0.22222,0.12761,0.08775,1.36334,2.556,3.68708,1.67735,0,0.00135144,0.00135144,0.00135144
11,69.8687,0.68703,0.76103,0.68546,0.92773,0,0.46389,0.38502,0.20918,0.12585,0.13306,0.40883,0.14586,0.08843,1.16821,2.30055,4.61892,1.39337,0,0.00147193,0.00147193,0.00147193
12,78.535,0.70001,0.78558,0.66732,0.94144,0,0.46899,0.42177,0.39952,0.24399,0.30783,0.34402,0.25858,0.18502,1.15749,3.971,2.27003,1.43996,0,0.00148546,0.00148546,0.00148546
13,85.4443,0.67017,0.75269,0.63008,0.91971,0,0.45647,0.64613,0.47311,0.31162,0.44296,0.63818,0.45228,0.28202,1.00818,4.0301,2.96113,1.28163,0,0.00146896,0.00146896,0.00146896
14,95.0171,0.66149,0.78608,0.59246,0.90779,0,0.61867,0.7283,0.65999,0.47405,0.57082,0.66796,0.61427,0.4337,0.81568,1.61035,1.99395,1.25991,0,0.00145246,0.00145246,0.00145246
