epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19777,1.38453,2.73477,3.76281,1.17496,0,0.01331,0.37393,0.07109,0.04065,0.00738,0.1891,0.04149,0.02172,0.6619,1.90169,3.55774,0.94214,0,0.0001,0.0001,0.0001
2,9.03995,0.82012,1.18227,2.56196,0.96471,0,0.03594,0.40171,0.17713,0.12769,0.03229,0.33761,0.1398,0.06907,0.60228,1.01351,3.29631,0.90007,0,0.000210396,0.000210396,0.000210396
3,12.6318,0.70102,0.87256,1.43747,0.91026,0,0.09663,0.89744,0.53976,0.43458,0.09806,0.92521,0.54555,0.3466,0.59454,0.88984,2.80519,0.88618,0,0.000318565,0.000318565,0.000318565
4,16.2051,0.69919,0.81948,1.1856,0.92046,0,0.73268,0.28098,0.47382,0.34888,0.72902,0.28098,0.48088,0.3121,0.63005,0.91499,2.78631,0.89469,0,0.000424506,0.000424506,0.000424506
5,19.6067,0.66058,0.72978,1.07846,0.90613,0,0.87931,0.34936,0.61902,0.39879,0.82632,0.32158,0.59662,0.39962,0.71859,0.76611,2.62006,0.97858,0,0.00052822,0.00052822,0.00052822
6,23.0091,0.6853,0.73604,0.97482,0.91359,0,0.73133,0.22543,0.43978,0.32588,0.72614,0.22543,0.4524,0.31134,0.65646,0.7096,2.53624,0.97768,0,0.000629706,0.000629706,0.000629706
7,26.5585,0.63728,0.73814,0.92844,0.88644,0,0.82506,0.27137,0.48404,0.36217,0.77072,0.24359,0.48932,0.33943,0.71786,0.75172,2.32445,0.94042,0,0.000728965,0.000728965,0.000728965
8,29.9827,0.62863,0.69248,0.90312,0.9119,0,0.58839,0.49259,0.68506,0.54759,0.58839,0.49259,0.69533,0.51446,0.601,0.70274,1.84341,0.91414,0,0.000825996,0.000825996,0.000825996
9,33.1138,0.59472,0.66438,0.85388,0.88113,0,0.93215,0.48283,0.8757,0.69464,0.94897,0.51113,0.89639,0.67213,0.69911,0.63746,1.84021,0.96576,0,0.0009208,0.0009208,0.0009208
10,35.9352,0.61662,0.70177,0.8676,0.8912,0,0.63005,0.55021,0.81259,0.64179,0.63005,0.55021,0.81965,0.58956,0.61337,0.73432,1.8755,0.95849,0,0.00101338,0.00101338,0.00101338
11,38.5952,0.64788,0.66099,0.84408,0.9082,0,0.74429,0.79626,0.81847,0.65927,0.72534,0.76848,0.81089,0.5748,0.62876,0.73441,1.60413,0.92381,0,0.00110373,0.00110373,0.00110373
12,40.8939,0.63659,0.6907,0.8236,0.89403,0,0.80837,0.86715,0.88959,0.6965,0.83309,0.8946,0.89502,0.62896,0.69663,0.80536,1.00253,0.99195,0,0.00111388,0.00111388,0.00111388
13,43.0961,0.63086,0.65936,0.80696,0.89412,0,0.81707,0.9266,0.82878,0.64467,0.81202,0.92965,0.83867,0.6217,0.66049,0.77815,1.01004,0.9605,0,0.0011015,0.0011015,0.0011015
14,45.556,0.6074,0.6766,0.77203,0.877,0,0.7673,0.80182,0.81499,0.5966,0.73425,0.82752,0.78059,0.58921,0.63799,0.69093,1.1961,0.96444,0,0.00108913,0.00108913,0.00108913
15,47.9891,0.60915,0.67257,0.76388,0.87932,0,0.91913,0.85381,0.93242,0.73394,0.91913,0.85381,0.92305,0.67049,0.60302,0.74443,0.91259,0.95113,0,0.00107675,0.00107675,0.00107675
16,50.2306,0.59811,0.65567,0.69993,0.87348,0,0.85518,0.88918,0.87755,0.69035,0.8646,0.89744,0.88571,0.64371,0.62042,0.60847,0.80783,0.95146,0,0.00106437,0.00106437,0.00106437
17,53.0754,0.58709,0.58917,0.75352,0.88127,0,0.72364,0.79065,0.78574,0.60483,0.72364,0.79065,0.78033,0.56381,0.65375,0.62737,0.99056,0.99389,0,0.001052,0.001052,0.001052
18,55.8102,0.59704,0.63325,0.73246,0.88276,0,0.90404,0.83333,0.90545,0.74905,0.90282,0.85635,0.92352,0.69113,0.54769,0.53586,0.71957,0.88225,0,0.00103962,0.00103962,0.00103962
19,58.3103,0.58353,0.63252,0.68329,0.86543,0,0.89271,0.87927,0.9093,0.72511,0.90949,0.90754,0.93465,0.66748,0.62099,0.55166,0.67636,0.91345,0,0.00102725,0.00102725,0.00102725
20,61.3218,0.57683,0.6313,0.68564,0.87827,0,0.90851,0.86979,0.91983,0.78726,0.87653,0.94444,0.94309,0.71855,0.55878,0.61055,0.68563,0.94316,0,0.00101488,0.00101488,0.00101488
21,64.1349,0.54063,0.61272,0.62502,0.85907,0,0.90111,0.93146,0.93845,0.79026,0.90111,0.93146,0.93845,0.73684,0.55456,0.56343,0.58526,0.90194,0,0.0010025,0.0010025,0.0010025
22,66.7996,0.54885,0.5822,0.61906,0.86406,0,0.91323,0.94444,0.95035,0.77175,0.91323,0.94444,0.95035,0.71348,0.53996,0.59979,0.57035,0.91207,0,0.000990125,0.000990125,0.000990125
23,69.5728,0.5434,0.55687,0.62132,0.86182,0,0.90971,0.91401,0.93111,0.74553,0.85067,0.85993,0.89164,0.70325,0.5249,0.57486,0.59226,0.89112,0,0.00097775,0.00097775,0.00097775
24,72.1703,0.52786,0.53488,0.63374,0.86917,0,0.91937,0.96358,0.96239,0.80911,0.9138,0.93483,0.96124,0.75548,0.58314,0.55782,0.56819,0.92486,0,0.000965375,0.000965375,0.000965375
25,74.9133,0.54601,0.57191,0.6348,0.86788,0,0.8977,0.90455,0.95237,0.78144,0.8977,0.90455,0.94123,0.70329,0.55143,0.52454,0.57449,0.92368,0,0.000953,0.000953,0.000953
26,77.645,0.53134,0.60624,0.6229,0.87516,0,0.92552,0.96261,0.96024,0.81161,0.92552,0.96261,0.96024,0.73873,0.51704,0.49236,0.53891,0.88843,0,0.000940625,0.000940625,0.000940625
27,80.2273,0.50815,0.54915,0.58677,0.85507,0,0.91937,0.96303,0.95882,0.80798,0.91937,0.96303,0.95901,0.72305,0.59874,0.53709,0.52877,0.91297,0,0.00092825,0.00092825,0.00092825
28,82.8757,0.49219,0.51464,0.59395,0.85945,0,0.95279,0.95172,0.96499,0.81464,0.95279,0.95172,0.96499,0.73978,0.52327,0.59412,0.53435,0.89616,0,0.000915875,0.000915875,0.000915875
29,85.4166,0.48739,0.57469,0.57635,0.85542,0,0.94374,0.95122,0.97733,0.84111,0.94374,0.95122,0.97733,0.75736,0.52371,0.59747,0.53483,0.89263,0,0.0009035,0.0009035,0.0009035
30,88.2215,0.50235,0.54485,0.57354,0.86204,0,0.98261,0.89744,0.96152,0.8259,0.98261,0.89744,0.96061,0.7238,0.55988,0.60976,0.56117,0.91145,0,0.000891125,0.000891125,0.000891125
